,OPX_001,OPX_002,OPX_019,OPX_032,OPX_033,OPX_034,OPX_038,OPX_043,OPX_066,OPX_069,OPX_078,OPX_080,OPX_083,OPX_100,OPX_105,OPX_118,OPX_125,OPX_129,OPX_135,OPX_137,OPX_140,OPX_147,OPX_153,OPX_156,OPX_167,OPX_172,OPX_176,OPX_178,OPX_191,OPX_195,OPX_198,OPX_200,OPX_206,OPX_207,OPX_216,OPX_221,OPX_223,OPX_227,OPX_239,OPX_240,OPX_242,OPX_247,OPX_249,OPX_254,OPX_263,OPX_267,OPX_268,OPX_271,OPX_272,OPX_278,OPX_281,OPX_288,OPX_293,OPX_296,OPX_302,OPX_306,OPX_311,OPX_326,OPX_328_1,OPX_328_2,OPX_331,OPX_335,OPX_336,OPX_347,OPX_348,OPX_355,OPX_357
OPX_078,0.3263536,0.29532105,0.23987266,0.4175762,0.31669292,0.17195556,0.22632772,0.41743308,0.21472172,0.270291,1.002275,0.3623244,0.33568412,0.26259068,0.2711343,0.24796972,0.33278713,0.28002948,0.29271564,0.22405542,0.29057842,0.23450354,0.24554989,0.29585207,0.35503206,0.2991094,0.32937586,0.24359263,0.336367,0.21830991,0.30605668,0.3491748,0.49024862,0.3532596,0.2453545,0.31154191,0.28187278,0.35363796,0.18884243,0.39316177,0.21754292,0.18331867,0.24118856,0.28169423,0.3010975,0.25202617,0.19693562,0.4862401,0.2284971,0.22960979,0.2578044,0.33555052,0.186322,0.4241992,0.23957482,0.35048872,0.35059312,0.2729218,0.26137978,0.27141207,0.35142297,0.5289844,0.33720872,0.3143408,0.37540096,0.24790518,0.22875309
OPX_080,0.2945274,0.76510894,0.32234967,0.4023494,0.55131763,0.5888317,0.7536415,0.5040279,0.66586024,0.37159505,0.3623244,1.0000153,0.43782818,0.70625377,0.40104795,0.7088229,0.7481625,0.7199426,0.4746241,0.6350338,0.7299898,0.69240856,0.31921107,0.69316614,0.48205057,0.6964879,0.32678252,0.60982585,0.6881391,0.7739885,0.8294982,0.5540818,0.45434198,0.47866565,0.77376974,0.71903515,0.40901315,0.52902883,0.631689,0.48983485,0.7183382,0.6756941,0.49156153,0.761902,0.69970405,0.2823404,0.723908,0.5835372,0.33458483,0.6957606,0.6844134,0.41428107,0.6072221,0.63476837,0.38297093,0.6866926,0.78779435,0.4113354,0.70598567,0.74177,0.5070833,0.5976813,0.5815069,0.6434297,0.6779631,0.5040662,0.6433395
OPX_083,0.28048134,0.37072286,0.37067986,0.5135659,0.49883625,0.30945423,0.31565666,0.4033589,0.29903823,0.36497453,0.33568412,0.43782818,1.0000017,0.38383788,0.30997786,0.35306352,0.45264965,0.45599496,0.31970075,0.29387206,0.3769439,0.28653985,0.43873942,0.48368812,0.45124376,0.30596066,0.40653676,0.26727504,0.5109235,0.2945591,0.446284,0.43567365,0.43339872,0.6241068,0.2957033,0.40197247,0.4094922,0.5560341,0.2560726,0.47001517,0.24571776,0.18224902,0.25049448,0.45222825,0.42077354,0.23862034,0.32204688,0.518198,0.31235617,0.35274717,0.34213135,0.46332556,0.27635118,0.38810658,0.36843032,0.46002474,0.5091814,0.4423791,0.29327214,0.33231175,0.50348103,0.53073025,0.342898,0.40576422,0.37001967,0.38865033,0.27312082
OPX_100,0.2925064,0.6853669,0.5188815,0.44182363,0.43869725,0.73102295,0.8450854,0.44702592,0.5752232,0.4806775,0.26259068,0.70625377,0.38383788,1.0000695,0.4329933,0.8156302,0.60364825,0.80378854,0.35136515,0.6581553,0.5600307,0.8356367,0.4381628,0.47338724,0.42982703,0.519184,0.30046928,0.5200952,0.71521115,0.8090111,0.79588264,0.6077326,0.35916656,0.49830133,0.8573484,0.63241976,0.51207185,0.48448864,0.81078565,0.46019194,0.7877954,0.58476764,0.51745635,0.7745324,0.86297846,0.25499585,0.8076215,0.4417876,0.4304949,0.8053185,0.7771675,0.49389085,0.8807191,0.43113583,0.5246805,0.5544427,0.7844242,0.48717874,0.81192815,0.83223575,0.43785816,0.6203835,0.5182297,0.6476635,0.40002543,0.46004164,0.797189
OPX_105,0.8332725,0.30823535,0.27300316,0.2988308,0.39878795,0.28418005,0.4022957,0.3417261,0.33302072,0.2954139,0.2711343,0.40104795,0.30997786,0.4329933,1.0000718,0.37858218,0.42805982,0.35325205,0.3223492,0.35666084,0.37253165,0.3563688,0.2621357,0.40499806,0.36898184,0.32940102,0.32310304,0.39197594,0.42872545,0.34262654,0.40967718,0.44359553,0.36723953,0.38377583,0.35448208,0.42689112,0.29825473,0.346393,0.3265452,0.33680567,0.3363552,0.273619,0.33498618,0.43391114,0.41938472,0.2883852,0.32658952,0.39810187,0.2858489,0.35057014,0.33718026,0.29013053,0.37301162,0.36145264,0.30520916,0.4313329,0.373334,0.28930026,0.36562142,0.37720206,0.3917873,0.44518468,0.4354549,0.51787335,0.34085214,0.28005195,0.35120445
OPX_118,0.2836942,0.67478454,0.43798125,0.42579675,0.3899827,0.8264946,0.8727901,0.43944055,0.5993369,0.3860808,0.24796972,0.7088229,0.35306352,0.8156302,0.37858218,1.000156,0.55395615,0.83704376,0.33975267,0.6871853,0.48787746,0.8294351,0.39254192,0.48424196,0.42887396,0.47908705,0.26580524,0.4454412,0.63368666,0.79351187,0.7694319,0.48056084,0.30471087,0.48688757,0.8509816,0.54962194,0.47486436,0.47379658,0.8498124,0.45419934,0.79165924,0.6403544,0.440858,0.7428687,0.83622503,0.20239565,0.80242115,0.38451827,0.34668988,0.81153756,0.68928397,0.44966912,0.8246687,0.38081938,0.40775365,0.46270144,0.7873442,0.45873618,0.72977525,0.79297936,0.35464546,0.5273105,0.41045457,0.6233916,0.38646546,0.39691243,0.84971404
OPX_125,0.30092633,0.58472264,0.3575278,0.36856294,0.51952296,0.39602482,0.6529509,0.43599927,0.63585585,0.495454,0.33278713,0.7481625,0.45264965,0.60364825,0.42805982,0.55395615,1.0000583,0.5173737,0.38386253,0.62907636,0.7101519,0.49084088,0.29603136,0.6768652,0.4187976,0.68525875,0.324413,0.77299297,0.6263644,0.5863705,0.70081145,0.5840899,0.4290687,0.49146372,0.59973085,0.7334745,0.34075004,0.5764159,0.4503852,0.42627665,0.6359926,0.6668521,0.6216023,0.71079755,0.53017026,0.3089218,0.51447,0.5530549,0.38501287,0.5042692,0.5691279,0.38551018,0.5129113,0.6275145,0.46268043,0.6718749,0.59031636,0.39774847,0.6120807,0.6094279,0.5458936,0.6369477,0.69380873,0.7229361,0.5883148,0.4702367,0.4625191
OPX_129,0.2914462,0.7172508,0.5234648,0.4595443,0.45869803,0.77857983,0.74810195,0.48571682,0.49696323,0.42166537,0.28002948,0.7199426,0.45599496,0.80378854,0.35325205,0.83704376,0.5173737,1.0000777,0.37366718,0.5613762,0.47269288,0.75117755,0.53172046,0.48260075,0.4405629,0.4622692,0.29000926,0.35497645,0.6554869,0.72277564,0.8029727,0.47628805,0.34549645,0.56774664,0.8167263,0.5452441,0.57965595,0.5431628,0.7531033,0.46674404,0.67568517,0.5046439,0.37789747,0.6642957,0.84668577,0.2129285,0.754839,0.431023,0.3636623,0.7805907,0.6399753,0.56237066,0.7179483,0.37225482,0.47254983,0.45024467,0.8311974,0.59043974,0.655617,0.73271066,0.37794262,0.5703463,0.38272977,0.5225637,0.4038375,0.3598882,0.71651447
OPX_135,0.27464142,0.33853996,0.26066658,0.24875319,0.61767864,0.26650226,0.38035256,0.37877408,0.34044796,0.25153896,0.29271564,0.4746241,0.31970075,0.35136515,0.3223492,0.33975267,0.38386253,0.37366718,1.0001541,0.31590414,0.49346405,0.26728314,0.26476628,0.51353467,0.3812162,0.38763934,0.29864395,0.28389758,0.45965075,0.33892527,0.4328453,0.43367285,0.3522987,0.37659872,0.35358644,0.44549394,0.31907523,0.36858264,0.23297283,0.32615283,0.30530912,0.28799486,0.23892453,0.36698005,0.36070526,0.25775725,0.35871115,0.5267832,0.21457623,0.27407342,0.31281894,0.3175928,0.27817273,0.44787592,0.24937439,0.41841117,0.3991164,0.31608152,0.33278435,0.3565817,0.38113022,0.42366195,0.40198058,0.42752627,0.72646964,0.4274274,0.25846744
OPX_137,0.24498118,0.6396612,0.43728143,0.30744457,0.32563874,0.528737,0.7260272,0.44663948,0.77229017,0.47955966,0.22405542,0.6350338,0.29387206,0.6581553,0.35666084,0.6871853,0.62907636,0.5613762,0.31590414,1.0000346,0.57136333,0.6531254,0.34800625,0.4588456,0.365995,0.5992256,0.2542882,0.60843,0.5247184,0.6941117,0.6389914,0.4343095,0.3470212,0.37799102,0.69706273,0.5534421,0.41773415,0.4490873,0.61591744,0.33100337,0.7924775,0.77038157,0.48269016,0.68576455,0.6226915,0.19621114,0.56723714,0.3782411,0.5119183,0.5319395,0.6255331,0.41085374,0.6909199,0.47448185,0.49480164,0.5838986,0.66602135,0.45940024,0.7248338,0.7337425,0.41292477,0.55415493,0.49042955,0.5715374,0.43288034,0.35100836,0.62450784
