threshold,median_count,mean_count
0.1,663,2735
0.2,592,2503.1152882205515
0.30000000000000004,549,2329.8295739348373
0.4,512,2185.2330827067667
0.5,463,2060.308270676692
0.6,424,1949.142857142857
0.7000000000000001,390,1848.1303258145363
0.8,352,1750.9624060150377
0.9,316,1641.8020050125313
